GeneDeletions,NoOfDels,GrowthRate,ProductFlux,CouplingStrength,DistFromIdeal
XNR_0501 XNR_1729 XNR_3068 XNR_3884/XNR_3885 XNR_4886 XNR_5251 XNR_5393,7,0.04423755,0,-0,NaN
XNR_0123 XNR_3070 XNR_4684 XNR_4989 XNR_5251,5,0.04423756,0,-0.001,NaN
XNR_0123 XNR_0864 XNR_0954 XNR_1793 XNR_3070 XNR_3888 XNR_4027 XNR_4627 XNR_4684 XNR_5251,10,0.04423756,0,-0.001,NaN
XNR_0123 XNR_0864 XNR_1793 XNR_3070 XNR_3888 XNR_3961 XNR_4004 XNR_4627 XNR_4684 XNR_5251,10,0.04423761,0,-0.006,NaN
XNR_0857 XNR_1729 XNR_3068 XNR_4886 XNR_4989 XNR_5251,6,0.0442377,0,-0.015,NaN
XNR_0394 XNR_1729 XNR_3642 XNR_4478 XNR_4845 XNR_5251 XNR_5281,7,0.0442377,0,-0.015,NaN
XNR_0123 XNR_0501 XNR_1729 XNR_1793 XNR_3070 XNR_4004 XNR_5251 XNR_5707,8,0.04423774,0,-0.02,NaN
XNR_1364 XNR_1729 XNR_1926 XNR_3474 XNR_4886 XNR_5251,6,0.04423776,0,-0.021,NaN
XNR_1364 XNR_1729 XNR_1926 XNR_3474 XNR_4886 XNR_5251 XNR_5632,7,0.04423776,0,-0.021,NaN
XNR_3310 XNR_3313 XNR_3582 XNR_3681 XNR_5251 XNR_5393,6,0.04423783,0,-0.028,NaN
XNR_1593 XNR_1729 XNR_2505 XNR_3068 XNR_3310 XNR_3313 XNR_3582 XNR_3884/XNR_3885 XNR_5251 XNR_5393,10,0.04423784,0,-0.029,NaN
XNR_0857 XNR_1926 XNR_3681 XNR_4004 XNR_5251,5,0.04423785,0,-0.03,NaN
XNR_0123 XNR_0960 XNR_1926 XNR_4004 XNR_5251,5,0.04423789,0,-0.034,NaN
XNR_0123 XNR_1926 XNR_4004 XNR_5251,4,0.0442379,0,-0.035,NaN
XNR_0123 XNR_1541 XNR_1987 XNR_3807 XNR_5251 XNR_5781,6,0.04423798,0,-0.043,NaN
XNR_0123 XNR_0558 XNR_1541 XNR_1987 XNR_3807 XNR_4975 XNR_5251 XNR_5781,8,0.04423799,0,-0.044,NaN
XNR_0501 XNR_0809/XNR_3680/XNR_3682/XNR_3684/XNR_3686 XNR_1729 XNR_3068 XNR_3883 XNR_3884/XNR_3885 XNR_4457 XNR_5251 XNR_5393,9,0.04423799,0,-0.044,NaN
XNR_0179 XNR_1181 XNR_2995 XNR_4241 XNR_4732 XNR_4886,6,0.05748771,0,-0.049,NaN
XNR_0179 XNR_1181 XNR_1238 XNR_2995 XNR_4241 XNR_4732 XNR_4886,7,0.05748771,0,-0.049,NaN
XNR_1987 XNR_2995 XNR_3474 XNR_3642 XNR_4241 XNR_4732 XNR_4886 XNR_5752,8,0.05748778,0,-0.058,NaN
XNR_0358 XNR_1793 XNR_4004 XNR_4239 XNR_4241 XNR_4732 XNR_4874 XNR_5781,8,0.05748783,0,-0.063,NaN
XNR_0857 XNR_2995 XNR_4732 XNR_4886,4,0.05885286,0,-0.065,NaN
XNR_1926 XNR_4552 XNR_4732 XNR_4989 XNR_5781,5,0.05885286,0,-0.065,NaN
XNR_1774 XNR_3806 XNR_4241 XNR_5781,4,0.06250053,0,-0.07,NaN
XNR_1593 XNR_1729 XNR_3310 XNR_4886 XNR_4989 XNR_5752,6,0.06815065,0,-0.071,NaN
XNR_1593 XNR_1729 XNR_3310 XNR_4886 XNR_4989 XNR_5716 XNR_5752,7,0.06815065,0,-0.071,NaN
XNR_0857 XNR_1729 XNR_4027,3,0.06815066,0,-0.073,NaN
XNR_0857 XNR_1729 XNR_4027 XNR_4438,4,0.06815066,0,-0.073,NaN
XNR_0857 XNR_1729 XNR_2222 XNR_4027 XNR_4438,5,0.06815066,0,-0.073,NaN
XNR_4886 XNR_4989 XNR_5393,3,0.06815067,0,-0.076,NaN
XNR_1729 XNR_1793 XNR_3474 XNR_4886 XNR_4989 XNR_5752,6,0.0681507,0,-0.08,NaN
XNR_4004 XNR_4989,2,0.06815073,0,-0.083,NaN
XNR_1793 XNR_3572,2,0.06815074,0,-0.084,NaN
XNR_1793 XNR_3572 XNR_4310,3,0.06815074,0,-0.084,NaN
XNR_0725 XNR_1793 XNR_2050 XNR_3572 XNR_5924,5,0.06815074,0,-0.084,NaN
XNR_0857 XNR_1926 XNR_3681 XNR_4886,4,0.06815076,0,-0.085,NaN
XNR_1926 XNR_4989 XNR_5707,3,0.06815079,0,-0.089,NaN
XNR_1926 XNR_2505 XNR_4989 XNR_5707,4,0.06815079,0,-0.089,NaN
XNR_4886 XNR_4989 XNR_5393 XNR_5833,4,0.068151,0,-0.106,NaN
XNR_1729 XNR_3474 XNR_4886 XNR_4989 XNR_5752,5,0.06815108,0,-0.115,NaN
XNR_0857 XNR_1729 XNR_1793 XNR_3806 XNR_4886,5,0.0681511,0,-0.116,NaN
XNR_1729 XNR_3310 XNR_4886 XNR_4989 XNR_5752 XNR_5833,6,0.06815113,0,-0.12,NaN
